iter	Logloss
0	0.6721365786
1	0.6502159708
2	0.6324585522
3	0.6151949544
4	0.6047214567
5	0.5882557927
6	0.5740884341
7	0.5609536081
8	0.5477729267
9	0.5398425888
10	0.5284824238
11	0.5176328286
12	0.5086191858
13	0.5014723231
14	0.4940662473
15	0.4858094641
16	0.4781566453
17	0.4711366028
18	0.4637046641
19	0.4608004406
20	0.4539272778
21	0.4471128456
22	0.4416508544
23	0.4359118119
24	0.4324621658
25	0.4278645239
26	0.4231863575
27	0.4189543887
28	0.4156061797
29	0.4117500631
30	0.4088729233
31	0.4054857653
32	0.4014152812
33	0.398109111
34	0.396163626
35	0.3932413268
36	0.3909694966
37	0.3891196922
38	0.3860261052
39	0.3828142143
40	0.3798994051
41	0.3775254416
42	0.375304968
43	0.3732108337
44	0.3719420164
45	0.3703197346
46	0.3680234687
47	0.3673445601
48	0.365170837
49	0.3630813765
50	0.3613640354
51	0.3599915368
52	0.3584109466
53	0.3570301132
54	0.3553166784
55	0.3541114743
56	0.3524770233
57	0.3514833741
58	0.3493623748
59	0.3486522542
60	0.347913733
61	0.3471829305
62	0.347135213
63	0.3459509406
64	0.3454727903
65	0.3432906414
66	0.3414434186
67	0.3399750841
68	0.3383754072
69	0.3362599951
70	0.3351471651
71	0.335086985
72	0.3350195585
73	0.3347142883
74	0.3333226911
75	0.3323791304
76	0.3315847753
77	0.3310618491
78	0.3310207372
79	0.3309915938
80	0.3292022153
81	0.3289945417
82	0.3289050549
83	0.3280966357
84	0.32762714
85	0.3266815393
86	0.3259750708
87	0.325545109
88	0.3245485951
89	0.3239699016
90	0.3232706786
91	0.3223677475
92	0.3216712747
93	0.3216621295
94	0.3210887821
95	0.3199862851
96	0.318498948
97	0.3174335308
98	0.3171838421
99	0.3159476915
100	0.3157274887
101	0.3151735279
102	0.3151625873
103	0.3143091892
104	0.3140196185
105	0.3134517383
106	0.3130297063
107	0.3130297063
108	0.313027473
109	0.3129422283
110	0.3127252058
111	0.3126790766
112	0.3126634852
113	0.3126611033
114	0.3112059316
115	0.3100896507
116	0.3096480928
117	0.3090234828
118	0.3087152628
119	0.3080501321
120	0.307545428
121	0.3072258173
122	0.3071970876
123	0.3071883792
124	0.3068530451
125	0.3068255158
126	0.3062130469
127	0.3062086618
128	0.3057749402
129	0.3053724361
130	0.3051765826
131	0.3045993706
132	0.304239465
133	0.3041849073
134	0.3040302758
135	0.3039971551
136	0.303483729
137	0.3025243689
138	0.3020914211
139	0.3019472096
140	0.3015062535
141	0.3004874398
142	0.3003304416
143	0.3003199799
144	0.2998901435
145	0.2998703552
146	0.2989487832
147	0.2983486215
148	0.298023678
149	0.2972466505
150	0.2969772584
151	0.2962660178
152	0.2962435096
153	0.2954493497
154	0.2953300255
155	0.2945912508
156	0.2945672373
157	0.2945054444
158	0.29345141
159	0.2930663795
160	0.2928508662
161	0.2923057477
162	0.2921783064
163	0.2921263569
164	0.2919198028
165	0.2911861451
166	0.2900353185
167	0.2897245937
168	0.289485476
169	0.2891609901
170	0.288696349
171	0.2881766038
172	0.2872813525
173	0.2872586191
174	0.2865000613
175	0.2860721949
176	0.2854744028
177	0.2854324385
178	0.284970596
179	0.2848006154
180	0.2841158167
181	0.2839574102
182	0.2838423955
183	0.28278291
184	0.2823965555
185	0.2823914553
186	0.2820541376
187	0.2814062392
188	0.2809793371
189	0.2807882003
190	0.2805037424
191	0.2800859797
192	0.2795358825
193	0.2791471447
194	0.2788593434
195	0.278354524
196	0.2780541748
197	0.2778197408
198	0.2775903498
199	0.2771810693
200	0.2770515876
201	0.2767298358
202	0.276262454
203	0.2757679607
204	0.2755281638
205	0.2752270467
206	0.2752095348
207	0.274676374
208	0.2740601728
209	0.2733809242
210	0.2730457869
211	0.2728094317
212	0.272162184
213	0.2715647374
214	0.2713132048
215	0.2706933079
216	0.2705112636
217	0.2701296038
218	0.2697533238
219	0.2694872856
220	0.2688899474
221	0.268138077
222	0.2676521627
223	0.2676436245
224	0.2675778515
225	0.2671776218
226	0.2667214593
227	0.2663115235
228	0.2661321063
229	0.2659124152
230	0.2659122452
231	0.2658807743
232	0.2655496786
233	0.2655439184
234	0.2648923092
235	0.2641759593
236	0.2641706606
237	0.2640963585
238	0.2640911063
239	0.2638819764
240	0.2637091711
241	0.2631516536
242	0.263116792
243	0.2625394535
244	0.262111773
245	0.2619894861
246	0.2617267973
247	0.2612378903
248	0.2609627109
249	0.2605662918
250	0.2603577294
251	0.2599713129
252	0.259297456
253	0.258945298
254	0.2587681355
255	0.2583164754
256	0.2583140103
257	0.2581128562
258	0.2578839372
259	0.2573980866
260	0.2563726341
261	0.2562311646
262	0.2559558657
263	0.255719118
264	0.2553189371
265	0.2549931038
266	0.254270548
267	0.2540668169
268	0.2536017496
269	0.2532098029
270	0.2530959611
271	0.2526433843
272	0.2524829671
273	0.2518422004
274	0.2514109209
275	0.2511404612
276	0.2511383599
277	0.2502626636
278	0.2498757027
279	0.2493707289
280	0.2491443537
281	0.2485439262
282	0.2478513514
283	0.24754739
284	0.2467303293
285	0.2461972461
286	0.2459770788
287	0.2457576155
288	0.2445246708
289	0.244148696
290	0.243799982
291	0.2436100418
292	0.2431871484
293	0.2431000205
294	0.2426312569
295	0.2416834166
296	0.2412955372
297	0.2410910352
298	0.2406888267
299	0.2404722638
300	0.2399206673
301	0.2396910842
302	0.2394631748
303	0.2390504213
304	0.2386250854
305	0.2381134069
306	0.2378394522
307	0.2373420846
308	0.23713472
309	0.2366294074
310	0.236338413
311	0.2360681453
312	0.2359985172
313	0.2357025671
314	0.2355737763
315	0.2349546433
316	0.2346060488
317	0.2341302394
318	0.2338420211
319	0.2336063801
320	0.233279559
321	0.2329770537
322	0.2324428092
323	0.2318814841
324	0.2317615184
325	0.2315657397
326	0.2313225016
327	0.2310522991
328	0.2306294407
329	0.2303874675
330	0.2298306912
331	0.2293043682
332	0.2290056412
333	0.2286713889
334	0.2282997944
335	0.2279515764
336	0.2275754465
337	0.2270294853
338	0.2268725176
339	0.226441647
340	0.2257103126
341	0.2255508871
342	0.2254066175
343	0.225254744
344	0.2249091592
345	0.2246866964
346	0.224642329
347	0.224227369
348	0.2240680718
349	0.2238967471
350	0.2235009926
351	0.2233886339
352	0.2229178707
353	0.2225682618
354	0.2223349274
355	0.2218428676
356	0.2216147093
357	0.2213033097
358	0.2208327887
359	0.220826632
360	0.2206123947
361	0.2197232713
362	0.2196158887
363	0.2192877806
364	0.2188086066
365	0.2185419196
366	0.2178064491
367	0.2177514687
368	0.2173829288
369	0.2171917713
370	0.216867004
371	0.2167781596
372	0.2161638209
373	0.2160553395
374	0.2158957927
375	0.2154543904
376	0.2150410582
377	0.2148195784
378	0.2143739877
379	0.2140862018
380	0.2139549072
381	0.2136684878
382	0.2133084207
383	0.2131907998
384	0.2130625284
385	0.2128616043
386	0.2128095541
387	0.2127425084
388	0.2124953245
389	0.2119511749
390	0.2116627802
391	0.2114827162
392	0.2112967579
393	0.2109561228
394	0.2105103806
395	0.2103019383
396	0.2101986768
397	0.2098229376
398	0.2092746701
399	0.2090899678
400	0.2086449917
401	0.2085534581
402	0.2081432893
403	0.2078844597
404	0.2077515003
405	0.207614195
406	0.2073302516
407	0.207113834
408	0.2069122396
409	0.2067547815
410	0.2062241432
411	0.2058830727
412	0.2055042654
413	0.2051901645
414	0.2050903502
415	0.2046735783
416	0.2043091035
417	0.2039267365
418	0.2033730432
419	0.2030384412
420	0.2021735296
421	0.2020385056
422	0.2013130608
423	0.2010374565
424	0.2009316296
425	0.2006739921
426	0.2004149381
427	0.2000720098
428	0.1998753175
429	0.1996318729
430	0.1995015945
431	0.1992996766
432	0.1991287005
433	0.198920971
434	0.1984519281
435	0.1980528104
436	0.1977337906
437	0.1975849072
438	0.1975535913
439	0.1971513696
440	0.1969919952
441	0.1967578165
442	0.1966578775
443	0.1964152483
444	0.196199981
445	0.1959065621
446	0.1955857549
447	0.1952332033
448	0.1949308637
449	0.1947801138
450	0.1945982002
451	0.1942793394
452	0.1934403149
453	0.1930995894
454	0.1928004542
455	0.192406363
456	0.1922202275
457	0.1920618743
458	0.1920019223
459	0.1915865077
460	0.1911889053
461	0.1911120841
462	0.1909647422
463	0.1907781511
464	0.1904600508
465	0.1901876554
466	0.1899125978
467	0.1897306445
468	0.1893376013
469	0.1889553399
470	0.1888059169
471	0.1885357759
472	0.1883892229
473	0.1881708999
474	0.187991972
475	0.1877675676
476	0.1875506055
477	0.1874066677
478	0.1871658991
479	0.1865909304
480	0.1864631545
481	0.1859618487
482	0.1856031095
483	0.1851695647
484	0.1850782368
485	0.1846855299
486	0.1843215696
487	0.184220477
488	0.1838602289
489	0.1836540778
490	0.1834544282
491	0.1832541524
492	0.1831799371
493	0.1830080075
494	0.1823708792
495	0.1821002774
496	0.1819063471
497	0.18165525
498	0.1814572085
499	0.1810465406
500	0.1809289197
501	0.1808058023
502	0.1803491248
503	0.1802401866
504	0.1799434695
505	0.1798783703
506	0.1797424924
507	0.1797089203
508	0.1793087107
509	0.1790572137
510	0.1790083759
511	0.1788495764
512	0.178416319
513	0.1781657927
514	0.1774207792
515	0.1770371087
516	0.1765577345
517	0.1764533163
518	0.1762483938
519	0.1761424749
520	0.1755557863
521	0.1753978569
522	0.1751758101
523	0.1751099597
524	0.1750490762
525	0.1748665336
526	0.1744198709
527	0.1741763143
528	0.1738973998
529	0.1735404439
530	0.1733942296
531	0.1732426171
532	0.1730725889
533	0.1729177793
534	0.1727142048
535	0.1726244699
536	0.172401133
537	0.1722942953
538	0.1721520572
539	0.1718278525
540	0.1716267559
541	0.1714083144
542	0.1711289122
543	0.1709388843
544	0.170750294
545	0.1706428996
546	0.1704052991
547	0.1701189503
548	0.1698734591
549	0.1697971287
550	0.1696422233
551	0.1694457143
552	0.1689664088
553	0.1685586381
554	0.1682634776
555	0.1681078694
556	0.1679157528
557	0.1676914029
558	0.1675598408
559	0.1674292242
560	0.1672728898
561	0.1670278859
562	0.1668374628
563	0.1666252061
564	0.1665558618
565	0.1664093504
566	0.1659672833
567	0.1657762902
568	0.1655982072
569	0.1654001735
570	0.1650353919
571	0.1648922617
572	0.1647251947
573	0.164576097
574	0.1644388857
575	0.1644147548
576	0.1640388595
577	0.163585552
578	0.1634710095
579	0.1632805046
580	0.1631424245
581	0.1629023779
582	0.1626736679
583	0.1625145611
584	0.1621976349
585	0.1620735158
586	0.1617334003
587	0.1616152644
588	0.1610411148
589	0.1607571609
590	0.1605466923
591	0.1602311432
592	0.1599115471
593	0.1596602304
594	0.1595502072
595	0.1593286436
596	0.1592083919
597	0.1591296916
598	0.15907712
599	0.1589115866
600	0.1585233808
601	0.1583760826
602	0.1582297487
603	0.1579378513
604	0.1577435907
605	0.1575163289
606	0.1573567375
607	0.1571631889
608	0.1571369629
609	0.1570044766
610	0.15686236
611	0.1565365818
612	0.1562472367
613	0.1559508119
614	0.1558148529
615	0.1555694742
616	0.1553984445
617	0.1551735162
618	0.1550523358
619	0.1547647328
620	0.1546623698
621	0.1544655448
622	0.1543963624
623	0.1542994277
624	0.1541871161
625	0.1541336064
626	0.1540288446
627	0.1539048336
628	0.1538084505
629	0.1536339818
630	0.1534065834
631	0.1531782778
632	0.1529709528
633	0.1527417917
634	0.1526113233
635	0.1524250167
636	0.152120213
637	0.1519181693
638	0.1514968586
639	0.1511125237
640	0.1510166053
641	0.1508262595
642	0.1505865119
643	0.1504914108
644	0.1504264195
645	0.1502278161
646	0.1501749397
647	0.1498325137
648	0.1497373036
649	0.1496613054
650	0.1495652201
651	0.1494848259
652	0.1490877487
653	0.1489081834
654	0.1488792561
655	0.1486774557
656	0.1483440795
657	0.1481124151
658	0.1475465103
659	0.1474284923
660	0.1470111715
661	0.146749056
662	0.1466142742
663	0.146441603
664	0.146330078
665	0.1460739505
666	0.1459238881
667	0.1458559001
668	0.14571338
669	0.1454419955
670	0.1452607879
671	0.1451554828
672	0.1448089199
673	0.1447844601
674	0.144573507
675	0.1445465563
676	0.1443242193
677	0.1441797781
678	0.1440926826
679	0.1438031676
680	0.1436120112
681	0.1434183178
682	0.143299126
683	0.1431606339
684	0.1430794247
685	0.1429540403
686	0.1426372977
687	0.1425225989
688	0.1423735572
689	0.1422221067
690	0.1420138605
691	0.1417075437
692	0.141270586
693	0.1411647042
694	0.1409454379
695	0.1409335497
696	0.1407157274
697	0.1405647069
698	0.1403478663
699	0.1399850584
700	0.139910321
701	0.1397940776
702	0.1396749907
703	0.1395868195
704	0.1395247766
705	0.1394808764
706	0.139363049
707	0.1389727182
708	0.1387143129
709	0.1386001282
710	0.138242631
711	0.1381501309
712	0.1379861307
713	0.1379217644
714	0.1378686426
715	0.1377688797
716	0.1377678494
717	0.1374739192
718	0.1371156551
719	0.1370371246
720	0.1369382786
721	0.1365950045
722	0.1364130357
723	0.1362918248
724	0.1361828776
725	0.1360761864
726	0.135925412
727	0.1356312384
728	0.1355036302
729	0.1354249529
730	0.1351901147
731	0.1350610707
732	0.1347769859
733	0.1346187653
734	0.134568091
735	0.1345147238
736	0.1344192599
737	0.1342032903
738	0.1341391255
739	0.1339374311
740	0.1337875653
741	0.1336979891
742	0.1336381902
743	0.1335501122
744	0.1335151115
745	0.1334403024
746	0.1332272233
747	0.1331385237
748	0.1329571678
749	0.1328629278
750	0.1327187816
751	0.1326385618
752	0.1325125429
753	0.1324145749
754	0.132218899
755	0.1319889077
756	0.1319196048
757	0.1318366354
758	0.1315950695
759	0.1313351352
760	0.1312868982
761	0.131201482
762	0.1309444166
763	0.1306917753
764	0.1306279937
765	0.1305451527
766	0.1303120466
767	0.1301927211
768	0.1299971856
769	0.1299141956
770	0.1297972173
771	0.1297030695
772	0.1295514838
773	0.1294948486
774	0.1293698873
775	0.129228942
776	0.1291524938
777	0.1290212258
778	0.1288730865
779	0.1287546316
780	0.1286599982
781	0.1285717744
782	0.1285133939
783	0.128331317
784	0.1281380177
785	0.1280529409
786	0.127935318
