iter	Passed	Remaining
194	3218	13285
195	3244	13308
196	3268	13322
197	3292	13337
198	3314	13339
199	3334	13336
200	3354	13333
201	3375	13336
202	3397	13337
203	3417	13333
204	3435	13321
205	3455	13317
206	3460	13255
207	3479	13246
208	3498	13239
209	3516	13228
210	3536	13225
211	3557	13221
212	3575	13210
213	3594	13201
214	3613	13191
215	3635	13197
216	3656	13195
217	3676	13187
218	3695	13180
219	3715	13173
220	3734	13162
221	3754	13157
222	3773	13149
223	3780	13095
224	3785	13038
225	3803	13024
226	3824	13022
227	3844	13016
228	3864	13010
229	3887	13013
230	3893	12960
231	3896	12900
232	3915	12889
233	3920	12834
234	3941	12830
235	3961	12824
236	3966	12771
237	3984	12756
238	3989	12702
239	4006	12688
240	4024	12673
241	4043	12665
242	4053	12627
243	4071	12614
244	4090	12606
245	4110	12598
246	4129	12589
247	4151	12587
248	4171	12582
249	4191	12575
250	4210	12565
251	4231	12559
252	4250	12548
253	4268	12536
254	4287	12527
255	4307	12518
256	4312	12468
257	4331	12456
258	4353	12455
259	4374	12451
260	4394	12443
261	4414	12434
262	4439	12440
263	4460	12434
264	4481	12430
265	4501	12421
266	4522	12415
267	4542	12406
268	4562	12399
269	4582	12390
270	4603	12382
271	4624	12378
272	4644	12368
273	4664	12359
274	4685	12352
275	4705	12344
276	4712	12299
277	4729	12283
278	4749	12272
279	4768	12262
280	4789	12254
281	4808	12242
282	4828	12234
283	4848	12223
284	4867	12212
285	4889	12206
286	4908	12193
287	4927	12181
288	4947	12171
289	4966	12159
290	4984	12145
291	5003	12131
292	5024	12123
293	5044	12113
294	5065	12105
295	5085	12094
296	5105	12085
297	5126	12076
298	5144	12061
299	5163	12048
300	5186	12044
301	5206	12033
302	5229	12028
303	5249	12018
304	5268	12006
305	5289	11996
306	5309	11984
307	5327	11970
308	5346	11955
309	5366	11944
310	5383	11927
311	5403	11915
312	5423	11903
313	5443	11892
314	5463	11881
315	5486	11875
316	5508	11868
317	5533	11866
318	5556	11862
319	5577	11852
320	5595	11836
321	5613	11820
322	5633	11808
323	5653	11795
324	5675	11787
325	5695	11774
326	5716	11764
327	5736	11751
328	5756	11740
329	5775	11726
330	5793	11708
331	5813	11696
332	5831	11681
333	5851	11668
334	5873	11658
335	5893	11645
336	5912	11632
337	5933	11621
338	5953	11609
339	5974	11597
340	5994	11585
341	6020	11582
342	6039	11569
343	6060	11557
344	6080	11543
345	6101	11532
346	6121	11519
347	6139	11502
348	6161	11492
349	6178	11474
350	6198	11461
351	6219	11449
352	6242	11441
353	6263	11430
354	6285	11420
355	6308	11412
356	6328	11399
357	6348	11385
358	6369	11373
359	6391	11362
360	6410	11347
361	6431	11335
362	6450	11319
363	6468	11302
364	6487	11286
365	6507	11272
366	6526	11257
367	6547	11244
368	6567	11231
369	6586	11214
370	6606	11200
371	6624	11183
372	6644	11169
373	6664	11155
374	6684	11140
375	6702	11122
376	6721	11106
377	6739	11089
378	6759	11075
379	6779	11060
380	6799	11046
381	6821	11035
382	6841	11021
383	6862	11009
384	6882	10994
385	6902	10979
386	6922	10964
387	6942	10950
388	6962	10936
389	6986	10927
390	7006	10912
391	7025	10897
392	7044	10879
393	7063	10864
394	7081	10847
395	7100	10829
396	7120	10814
397	7138	10797
398	7158	10782
399	7177	10766
400	7197	10750
401	7215	10734
402	7236	10719
403	7255	10703
404	7275	10688
405	7294	10672
406	7315	10658
407	7333	10640
408	7352	10623
409	7372	10608
410	7391	10592
411	7410	10576
412	7432	10564
413	7454	10551
414	7474	10536
415	7497	10524
416	7517	10509
417	7537	10495
418	7555	10476
419	7572	10457
420	7592	10441
421	7612	10425
422	7631	10409
423	7651	10394
424	7669	10377
425	7689	10360
426	7709	10344
427	7730	10331
428	7749	10314
429	7771	10302
430	7792	10287
431	7814	10274
432	7835	10259
433	7854	10242
434	7874	10227
435	7894	10212
436	7917	10200
437	7944	10193
438	7976	10193
439	8007	10191
440	8032	10181
441	8062	10178
442	8084	10164
443	8107	10152
444	8129	10139
445	8149	10123
446	8169	10106
447	8188	10089
448	8206	10071
449	8224	10052
450	8243	10034
451	8262	10017
452	8281	10000
453	8302	9985
454	8324	9970
455	8345	9955
456	8364	9938
457	8381	9918
458	8402	9903
459	8423	9888
460	8443	9872
461	8463	9855
462	8481	9837
463	8501	9820
464	8522	9805
465	8541	9788
466	8561	9771
467	8580	9754
468	8599	9736
469	8620	9720
470	8638	9702
471	8659	9686
472	8679	9670
473	8699	9653
474	8718	9636
475	8738	9619
476	8757	9602
477	8774	9582
478	8791	9562
479	8811	9545
480	8830	9527
481	8849	9510
482	8869	9493
483	8888	9476
484	8908	9459
485	8928	9442
486	8947	9425
487	8965	9406
488	8983	9387
489	9002	9370
490	9021	9351
491	9039	9333
492	9057	9314
493	9077	9297
494	9097	9281
495	9118	9265
496	9138	9249
497	9158	9231
498	9177	9214
499	9199	9199
500	9217	9180
501	9236	9162
502	9255	9145
503	9272	9124
504	9293	9109
505	9313	9092
506	9333	9075
507	9352	9057
508	9372	9041
509	9392	9024
510	9411	9006
511	9429	8987
512	9449	8970
513	9468	8952
514	9487	8934
515	9508	8919
516	9530	8903
517	9548	8885
518	9568	8867
519	9587	8849
520	9606	8832
521	9626	8814
522	9644	8796
523	9665	8779
524	9684	8762
525	9705	8745
526	9724	8728
527	9744	8710
528	9762	8692
529	9782	8674
530	9801	8656
531	9820	8639
532	9839	8621
533	9858	8602
534	9876	8583
535	9895	8566
536	9915	8549
537	9934	8530
538	9952	8512
539	9972	8495
540	9991	8477
541	10012	8460
542	10031	8442
543	10053	8426
544	10073	8409
545	10092	8391
546	10110	8373
547	10129	8355
548	10149	8338
549	10168	8319
550	10187	8301
551	10210	8286
552	10230	8269
553	10251	8252
554	10271	8235
555	10294	8220
556	10316	8204
557	10338	8189
558	10357	8170
559	10378	8154
560	10402	8139
561	10428	8127
562	10462	8120
563	10497	8115
564	10535	8111
565	10565	8101
566	10591	8088
567	10619	8076
568	10648	8065
569	10676	8054
570	10700	8039
571	10726	8026
572	10757	8016
573	10794	8011
574	10820	7997
575	10839	7978
576	10859	7961
577	10886	7947
578	10911	7933
579	10940	7922
580	10970	7911
581	10993	7895
582	11020	7882
583	11042	7865
584	11063	7848
585	11084	7830
586	11104	7813
587	11130	7798
588	11151	7781
589	11170	7762
590	11191	7745
591	11212	7727
592	11233	7709
593	11259	7696
594	11283	7680
595	11303	7662
596	11326	7646
597	11347	7628
598	11367	7609
599	11385	7590
600	11406	7572
601	11425	7553
602	11445	7535
603	11466	7517
604	11483	7497
605	11505	7480
606	11531	7466
607	11558	7452
608	11581	7435
609	11608	7421
610	11627	7402
611	11648	7385
612	11670	7367
613	11691	7350
614	11711	7331
615	11730	7312
616	11752	7295
617	11771	7276
618	11791	7257
619	11812	7239
620	11834	7222
621	11855	7204
622	11875	7186
623	11897	7169
624	11917	7150
625	11940	7133
626	11962	7116
627	11983	7098
628	12003	7080
629	12023	7061
630	12043	7043
631	12064	7024
632	12084	7006
633	12102	6986
634	12123	6968
635	12148	6952
636	12171	6935
637	12196	6920
638	12221	6904
639	12249	6890
640	12276	6875
641	12306	6862
642	12331	6846
643	12358	6831
644	12378	6812
645	12398	6794
646	12415	6773
647	12435	6754
648	12457	6737
649	12476	6718
650	12497	6700
651	12516	6680
652	12535	6661
653	12555	6642
654	12575	6623
655	12594	6604
656	12613	6585
657	12633	6566
658	12653	6547
659	12672	6528
660	12689	6507
661	12707	6488
662	12727	6469
663	12748	6450
664	12767	6431
665	12788	6413
666	12807	6394
667	12827	6375
668	12848	6356
669	12872	6339
670	12898	6324
671	12925	6308
672	12959	6296
673	12998	6286
674	13028	6272
675	13053	6256
676	13079	6240
677	13105	6224
678	13127	6206
679	13148	6187
680	13168	6168
681	13186	6148
682	13206	6129
683	13225	6110
684	13244	6090
685	13263	6071
686	13282	6051
687	13301	6031
688	13321	6012
689	13342	5994
690	13362	5975
691	13381	5955
692	13400	5936
693	13420	5917
694	13439	5897
695	13458	5878
696	13478	5859
697	13498	5840
698	13517	5820
699	13534	5800
700	13554	5781
701	13572	5761
702	13590	5741
703	13609	5722
704	13626	5701
705	13649	5684
706	13669	5664
707	13691	5646
708	13711	5627
709	13730	5608
710	13750	5589
711	13771	5570
712	13788	5550
713	13807	5530
714	13824	5510
715	13846	5492
716	13852	5467
717	13868	5446
718	13891	5428
719	13911	5410
720	13932	5391
721	13959	5374
722	13985	5358
723	14009	5340
724	14030	5321
725	14057	5305
726	14083	5288
727	14111	5272
728	14137	5255
729	14167	5240
730	14200	5225
731	14225	5208
732	14253	5191
733	14280	5175
734	14305	5157
735	14335	5142
736	14367	5127
737	14388	5108
738	14411	5089
739	14433	5071
740	14456	5052
741	14474	5032
742	14494	5013
743	14517	4995
744	14535	4975
745	14553	4955
746	14574	4936
747	14592	4916
748	14610	4896
749	14630	4876
750	14651	4857
751	14671	4838
752	14693	4819
753	14711	4799
754	14730	4780
755	14748	4760
756	14767	4740
757	14784	4720
758	14801	4699
759	14820	4680
760	14839	4660
761	14859	4641
762	14878	4621
763	14899	4602
764	14918	4582
765	14941	4564
766	14962	4545
767	14984	4526
768	15005	4507
769	15027	4488
770	15051	4470
771	15075	4452
772	15098	4433
773	15118	4414
774	15140	4395
775	15159	4376
776	15178	4356
777	15199	4337
778	15220	4317
779	15239	4298
780	15258	4278
781	15279	4259
782	15299	4240
783	15319	4220
784	15339	4201
785	15359	4181
786	15380	4162
787	15400	4143
788	15419	4123
789	15443	4105
790	15463	4085
791	15485	4066
792	15508	4048
793	15530	4029
794	15550	4009
795	15569	3990
796	15587	3970
797	15607	3950
798	15628	3931
799	15649	3912
800	15672	3893
801	15703	3877
802	15740	3861
803	15769	3844
804	15795	3826
805	15822	3808
806	15854	3791
807	15886	3774
808	15914	3757
809	15938	3738
810	15959	3719
811	15981	3700
812	16002	3680
813	16024	3661
814	16050	3643
815	16076	3625
816	16100	3606
817	16124	3587
818	16151	3569
819	16174	3550
820	16198	3531
821	16223	3513
822	16249	3494
823	16284	3478
824	16319	3461
825	16352	3444
826	16374	3425
827	16396	3406
828	16419	3386
829	16448	3368
830	16474	3350
831	16503	3332
832	16533	3314
833	16568	3297
834	16604	3281
835	16629	3262
836	16649	3242
837	16670	3222
838	16690	3202
839	16708	3182
840	16727	3162
841	16745	3142
842	16763	3122
843	16785	3102
844	16806	3082
845	16829	3063
846	16846	3043
847	16866	3023
848	16888	3003
849	16907	2983
850	16927	2963
851	16945	2943
852	16963	2923
853	16982	2903
854	17002	2883
855	17022	2863
856	17041	2843
857	17060	2823
858	17079	2803
859	17097	2783
860	17115	2763
861	17134	2743
862	17154	2723
863	17174	2703
864	17194	2683
865	17212	2663
866	17231	2643
867	17252	2623
868	17271	2603
869	17290	2583
870	17309	2563
871	17330	2543
872	17349	2523
873	17372	2504
874	17393	2484
875	17416	2465
876	17433	2445
877	17453	2425
878	17474	2405
879	17495	2385
880	17515	2365
881	17534	2345
882	17560	2326
883	17584	2307
884	17611	2288
885	17633	2268
886	17657	2249
887	17686	2230
888	17720	2212
889	17747	2193
890	17765	2173
891	17783	2153
892	17804	2133
893	17823	2113
894	17840	2093
895	17859	2072
896	17879	2053
897	17899	2033
898	17919	2013
899	17938	1993
900	17961	1973
901	17984	1953
902	18006	1934
903	18027	1914
904	18054	1895
905	18077	1875
906	18099	1855
907	18119	1835
908	18139	1815
909	18160	1796
910	18181	1776
911	18200	1756
912	18220	1736
913	18240	1716
914	18258	1696
915	18279	1676
916	18299	1656
917	18320	1636
918	18337	1616
919	18359	1596
920	18379	1576
921	18397	1556
922	18417	1536
923	18437	1516
924	18455	1496
925	18478	1476
926	18502	1457
927	18537	1438
928	18571	1419
929	18610	1400
930	18648	1382
931	18676	1362
932	18700	1342
933	18728	1323
934	18752	1303
935	18771	1283
936	18790	1263
937	18810	1243
938	18831	1223
939	18850	1203
940	18869	1183
941	18887	1162
942	18906	1142
943	18924	1122
944	18945	1102
945	18963	1082
946	18981	1062
947	18999	1042
948	19017	1022
949	19036	1001
950	19056	981
951	19076	961
952	19096	941
953	19115	921
954	19134	901
955	19157	881
956	19178	861
957	19196	841
958	19215	821
959	19234	801
960	19260	781
961	19286	761
962	19313	742
963	19343	722
964	19365	702
965	19388	682
966	19421	662
967	19453	643
968	19483	623
969	19513	603
970	19544	583
971	19570	563
972	19596	543
973	19626	523
974	19656	504
975	19684	484
976	19710	464
977	19740	444
978	19769	424
979	19796	404
980	19827	384
981	19855	363
982	19877	343
983	19898	323
984	19918	303
985	19938	283
986	19959	262
987	19981	242
988	19998	222
989	20017	202
990	20037	181
991	20057	161
992	20081	141
993	20102	121
994	20124	101
995	20145	80
996	20166	60
997	20187	40
998	20205	20
999	20223	0
